,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,ZIP_CODES,LOG_PRICE,LOG_SQFT,PRICE_CAT,GEO_POINTS,BOROUGH,COMMUNITY_DISTRICT,NEIGHBORHOOD
18,Brokered by Coldwell Banker Realty,Co-op,350000,1,1.0,700.0,5800 Arlington Ave Apt 21A,"Bronx, NY 10471","5800 Arlington Ave Apt 21ABronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5800,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578,10471,5.544068044350276,2.845098040014257,3,POINT (-73.9065578 40.9073699),Bronx,208,Kingsbridge and Riverdale
19,Brokered by Keller Williams Rlty Landmark,Condo,599000,2,2.0,974.0,92-29 Queens Blvd Unit 3H,"Rego Park, NY 11374","92-29 Queens Blvd Unit 3HRego Park, NY 11374",New York,Queens County,Queens,Rego Park,92-29,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",40.7324713,-73.8670804,11374,5.7774268223893115,2.9885589568786157,3,POINT (-73.86708040000001 40.7324713),Queens,406,West Central Queens
20,Brokered by Radiant Estates LLC,House,639999,3,2.0,1260.0,27 Clove Way,"Staten Island, NY 10301","27 Clove WayStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Clove Way,"27 Clove Way, Staten Island, NY 10301, USA",40.6207403,-74.1114362,10301,5.806179295398229,3.100370545117563,3,POINT (-74.1114362 40.6207403),Staten Island,501,Stapleton and St. George
21,"Brokered by Apaus, Inc",Condo,1300000,2,2.0,1244.0,10724 71st Rd Apt 9F,"Forest Hills, NY 11375","10724 71st Rd Apt 9FForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,10724,"10724 71st Rd #9f, Forest Hills, NY 11375, USA",40.7202429,-73.8430513,11375,6.113943352306837,3.0948203803548,4,POINT (-73.8430513 40.7202429),Queens,406,West Central Queens
22,Brokered by Keller Williams Ny Realty,Multi-family home,1100000,6,3.0,2837.0,1038 Throggs Neck Expy Unit Sr,"Bronx, NY 10465","1038 Throggs Neck Expy Unit SrBronx, NY 10465",United States,New York,Bronx County,The Bronx,Throgs Neck Expressway,"1038 Throgs Neck Expy, Bronx, NY 10465, USA",40.8343936,-73.8221101,10465,6.041392685158225,3.452859335795852,4,POINT (-73.8221101 40.8343936),Bronx,210,Southeast Bronx
23,Brokered by Martino Realty Group,Condo,349900,1,1.0,651.0,165 Cromwell Ave Apt 2B,"Staten Island, NY 10304","165 Cromwell Ave Apt 2BStaten Island, NY 10304",New York,Richmond County,Staten Island,Dongan Hills,165,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034,10304,5.5439439424829065,2.813580988568192,3,POINT (-74.09580339999999 40.5902064),Staten Island,502,Stapleton and St. George
24,Brokered by Elizabeth Marra,House,750000,2,2.0,1330.0,280 Loretto St,"Staten Island, NY 10307","280 Loretto StStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Loretto Street,"280 Loretto St, Staten Island, NY 10307, USA",40.5039785,-74.2396555,10307,5.8750612633917,3.123851640967086,3,POINT (-74.2396555 40.5039785),Staten Island,503,South Shore
25,Brokered by CENTURY 21 Milestone Realty,Multi-family home,1690000,6,4.0,2200.0,149-07 85 Rd,"Briarwood, NY 11435","149-07 85 RdBriarwood, NY 11435",United States,New York,Queens County,Queens,85th Road,"149-07 85th Rd, Jamaica, NY 11435, USA",40.710749,-73.809486,11435,6.227886704613674,3.342422680822206,4,POINT (-73.80948600000001 40.710749),Queens,408,Jamaica
27,Brokered by Century 21 Realty First,Multi-family home,2250000,12,2.0,5670.0,2361 81st St,"Brooklyn, NY 11214","2361 81st StBrooklyn, NY 11214",11214,United States,New York,Kings County,81st Street,"2361 81st St, Brooklyn, NY 11214, USA",40.602654,-73.9869399,11214,6.352182518111363,3.7535830588929064,4,POINT (-73.9869399 40.602654),Brooklyn,311,Southwest Brooklyn
29,Brokered by Ashford Homes,Multi-family home,1299888,10,6.0,3156.0,310-312 Hillside Ave,"Staten Island, NY 10304","310-312 Hillside AveStaten Island, NY 10304",New York,Richmond County,Staten Island,Clifton,310,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,10304,6.113905934554992,3.4991369945373827,4,POINT (-74.08695539999999 40.6155667),Staten Island,501,Stapleton and St. George
30,NoBroker,Multi-family home,925000,5,2.0,2750.0,543 Hollywood Ave,"Bronx, NY 10465","543 Hollywood AveBronx, NY 10465",United States,New York,Bronx County,The Bronx,Hollywood Avenue,"543 Hollywood Ave, Bronx, NY 10465, USA",40.8242389,-73.8173809,10465,5.9661417327390325,3.439332693830263,3,POINT (-73.8173809 40.8242389),Bronx,210,Southeast Bronx
31,Brokered by Get Listed Get Sold NYC,Condo,329000,1,2.0,794.0,47 Lynn Ct,"Staten Island, NY 10314","47 Lynn CtStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Lynn Court,"47 Lynn Ct, Staten Island, NY 10314, USA",40.6210398,-74.1504313,10314,5.517195897949974,2.8998205024270964,3,POINT (-74.15043129999999 40.6210398),Staten Island,501,Mid-Island
32,Brokered by RJM Realty Empire Inc.,Multi-family home,1300000,10,8.0,5040.0,366 Union Ave Unit 4,"Staten Island, NY 10303","366 Union Ave Unit 4Staten Island, NY 10303",New York,Richmond County,Staten Island,Mariners Harbor,366,"366 Union Ave #4, Staten Island, NY 10303, USA",40.6274381,-74.1581613,10303,6.113943352306837,3.7024305364455254,4,POINT (-74.1581613 40.6274381),Staten Island,501,Port Richmond
33,Brokered by RE MAX Edge,Multi-family home,848000,5,4.0,2080.0,544 Hinsdale St,"Brooklyn, NY 11207","544 Hinsdale StBrooklyn, NY 11207",United States,New York,Kings County,Brooklyn,Hinsdale Street,"544 Hinsdale St, Brooklyn, NY 11207, USA",40.6615475,-73.898309,11207,5.928395852256714,3.3180633349627615,3,POINT (-73.898309 40.6615475),Brooklyn,305,East New York and New Lots
34,Brokered by H P Greenfield Real Estate Ltd,Co-op,279000,1,1.0,750.0,1801 Ocean Ave Apt 4A,"Brooklyn, NY 11230","1801 Ocean Ave Apt 4ABrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1801,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305,11230,5.445604203273597,2.8750612633917,3,POINT (-73.95463049999999 40.6179165),Brooklyn,314,Borough Park
35,Brokered by Ashford Homes LLC,Condo,528000,1,1.0,602.0,1238 63rd St Unit 432,"Brooklyn, NY 11219","1238 63rd St Unit 432Brooklyn, NY 11219",New York,Kings County,Brooklyn,Dyker Heights,1238,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198,11219,5.722633922533812,2.7795964912578244,3,POINT (-74.0016198 40.6275896),Brooklyn,310,Borough Park
36,Brokered by Ashford Homes,Multi-family home,1299888,11,4.0,3156.0,310-312 Hillside Ave,"Staten Island, NY 10304","310-312 Hillside AveStaten Island, NY 10304",New York,Richmond County,Staten Island,Clifton,310,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,10304,6.113905934554992,3.4991369945373827,4,POINT (-74.08695539999999 40.6155667),Staten Island,501,Stapleton and St. George
39,Brokered by Staten Island Homes Realty Corp,Multi-family home,1199000,6,5.0,3290.0,10 Simon Ct,"Staten Island, NY 10307","10 Simon CtStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Simon Court,"10 Simon Ct, Staten Island, NY 10307, USA",40.5159256,-74.2361135,10307,6.078819183098848,3.5171958979499744,4,POINT (-74.2361135 40.5159256),Staten Island,503,South Shore
40,Brokered by Exp Realty,Multi-family home,700000,6,2.0,3053.0,229 W Tremont Ave Unit A,"Bronx, NY 10453","229 W Tremont Ave Unit ABronx, NY 10453",United States,New York,Bronx County,The Bronx,West Tremont Avenue,"229 W Tremont Ave, Bronx, NY 10453, USA",40.852813,-73.9176871,10453,5.845098040014257,3.4847268042986617,3,POINT (-73.91768709999999 40.852813),Bronx,205,Central Bronx
41,Brokered by Century 21 Realty First,Multi-family home,2150000,8,4.0,3200.0,2226 63rd St,"Brooklyn, NY 11204","2226 63rd StBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,63rd Street,"2226 63rd St, Brooklyn, NY 11204, USA",40.614446,-73.9795824,11204,6.332438459915605,3.505149978319906,4,POINT (-73.9795824 40.614446),Brooklyn,311,Borough Park
42,Brokered by E Realty International Corp,Multi-family home,1280000,7,5.0,2460.0,86-05 91st Ave,"Woodhaven, NY 11421","86-05 91st AveWoodhaven, NY 11421",United States,New York,Queens County,Queens,91st Avenue,"86-05 91st Ave, Jamaica, NY 11421, USA",40.688312,-73.856322,11421,6.107209969647869,3.3909351071033793,4,POINT (-73.85632200000001 40.688312),Queens,409,Southwest Queens
45,Brokered by Prestige Homes Ny Inc,Multi-family home,699000,4,3.0,1591.0,111-31 141st St,"Jamaica, NY 11435","111-31 141st StJamaica, NY 11435",United States,New York,Queens County,Queens,141st Street,"111-31 141st St, Jamaica, NY 11435, USA",40.6847504,-73.8027331,11435,5.8444771757456815,3.2016701796465816,3,POINT (-73.8027331 40.6847504),Queens,412,Jamaica
46,Brokered by Brown Harris Stevens,Co-op,4250000,3,2.0,2400.0,123 Prince St Unit 1,"Manhattan, NY 10012","123 Prince St Unit 1Manhattan, NY 10012",New York,New York County,New York,Manhattan,123,"123 Prince St Apt 1f, New York, NY 10012, USA",40.725464,-73.9999212,10012,6.628388930050312,3.380211241711606,4,POINT (-73.9999212 40.725464),Manhattan,102,Greenwich Village and Soho
48,Brokered by American Homes Group,Condo,329000,2,1.0,837.0,55 Austin Pl Apt 4L,"Staten Island, NY 10304","55 Austin Pl Apt 4LStaten Island, NY 10304",New York,Richmond County,Staten Island,Mid Island,55,"55 Austin Pl APT 4L, Staten Island, NY 10304, USA",40.6315346,-74.0856344,10304,5.517195897949974,2.92272545799326,3,POINT (-74.0856344 40.6315346),Staten Island,501,Stapleton and St. George
49,Brokered by Wonica REALTORS & Appraisers,Multi-family home,889000,2,2.0,1520.0,17 S Greenleaf Ave,"Staten Island, NY 10314","17 S Greenleaf AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,South Greenleaf Avenue,"17 S Greenleaf Ave, Staten Island, NY 10314, USA",40.6233188,-74.1259917,10314,5.948901760970213,3.1818435879447726,3,POINT (-74.1259917 40.6233188),Staten Island,501,Mid-Island
51,Brokered by eXp Realty BKNY,Multi-family home,1200000,4,2.0,2536.0,66 Bay 22nd St,"Brooklyn, NY 11214","66 Bay 22nd StBrooklyn, NY 11214",United States,New York,Kings County,Brooklyn,Bay 22nd Street,"66 Bay 22nd St, Brooklyn, NY 11214, USA",40.6042861,-74.0012526,11214,6.079181246047625,3.404149249209695,4,POINT (-74.0012526 40.6042861),Brooklyn,311,Southwest Brooklyn
52,Brokered by VYLLA HOME,Co-op,220500,2,1.0,900.0,350 Richmond Ter Apt 3M,"Staten Island, NY 10301","350 Richmond Ter Apt 3MStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,350,"350 Richmond Terrace Apt 3n, Staten Island, NY 10301, USA",40.6481488,-74.0847983,10301,5.343408593803857,2.9542425094393248,3,POINT (-74.0847983 40.6481488),Staten Island,501,Stapleton and St. George
53,Brokered by RE MAX Edge,Multi-family home,1999000,3,3.0,2739.0,259 80th St,"Brooklyn, NY 11209","259 80th StBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,80th Street,"259 80th St, Brooklyn, NY 11209, USA",40.6281691,-74.0297598,11209,6.300812794118117,3.4375920322539613,4,POINT (-74.02975979999999 40.6281691),Brooklyn,310,Southwest Brooklyn
54,Brokered by Douglas Elliman  -111 Fifth Ave,Co-op,3250000,2,2.0,1300.0,240 Centre St Unit 2M,"New York, NY 10013","240 Centre St Unit 2MNew York, NY 10013",New York County,New York,Manhattan,Centre Street,The Police Building,"The Police Building, 240 Centre St #2b, New York, NY 10013, USA",40.7199716,-73.9980266,10013,6.511883360978874,3.113943352306837,4,POINT (-73.9980266 40.7199716),Manhattan,102,Greenwich Village and Soho
55,Brokered by Douglas Elliman  -111 Fifth Ave,Condo,1650000,2,2.0,1267.0,473 Hicks St Apt 4,"Brooklyn, NY 11231","473 Hicks St Apt 4Brooklyn, NY 11231",New York,Kings County,Brooklyn,Cobble Hill,473,"473 Hicks St APT 4, Brooklyn, NY 11231, USA",40.6866098,-73.9997131,11231,6.217483944213907,3.1027766148834415,4,POINT (-73.99971309999999 40.6866098),Brooklyn,306,Northwest Brooklyn
56,"Brokered by Homes R Us Realty of NY, Inc.",Multi-family home,1049000,4,4.0,2554.0,342 Manhattan St,"Staten Island, NY 10307","342 Manhattan StStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Manhattan Street,"342 Manhattan St, Staten Island, NY 10307, USA",40.5016233,-74.2417531,10307,6.020775488193558,3.4072208929273966,4,POINT (-74.2417531 40.5016233),Staten Island,503,South Shore
57,Brokered by American Homes Group,House,998800,3,4.0,2400.0,1191 Clove Rd,"Staten Island, NY 10301","1191 Clove RdStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Clove Road,"1191 Clove Rd, Staten Island, NY 10301, USA",40.6175,-74.103996,10301,5.99947853367931,3.380211241711606,3,POINT (-74.103996 40.6175),Staten Island,501,Stapleton and St. George
58,Brokered by American Homes Group,House,998800,3,4.0,2400.0,Waldron Ave,"Staten Island, NY 10301","Waldron AveStaten Island, NY 10301",10301,United States,New York,Richmond County,Mid Island,"Waldron Ave, Staten Island, NY 10301, USA",40.618648,-74.1019085,10301,5.99947853367931,3.380211241711606,3,POINT (-74.10190849999999 40.618648),Staten Island,501,Stapleton and St. George
59,Brokered by DEGI - Douglas Elliman Real Estate,Others,3150000,3,2.0,1952.0,184 Lincoln Pl Unit 2,"Brooklyn, NY 11217","184 Lincoln Pl Unit 2Brooklyn, NY 11217",New York,Kings County,Brooklyn,Park Slope,184,"184 Lincoln Pl #2, Brooklyn, NY 11217, USA",40.6754035,-73.9742051,11217,6.498310553789601,3.290479813330673,4,POINT (-73.97420510000001 40.6754035),Brooklyn,306,Northwest Brooklyn
61,Brokered by Piastro Realty LLC,Co-op,559500,1,1.0,800.0,50 Brighton 1 Rd Unit 5H,"Brooklyn, NY 11235","50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,50,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",40.5751942,-73.9669983,11235,5.747800090864369,2.9030899869919438,3,POINT (-73.9669983 40.5751942),Brooklyn,313,Southern Brooklyn
62,Brokered by Douglas Elliman - 575 Madison Ave,Co-op,750000,1,1.0,835.0,333 E 66th St Apt 8E,"New York, NY 10065","333 E 66th St Apt 8ENew York, NY 10065",New York,New York County,New York,Manhattan,333,"333 E 66th St #8e, New York, NY 10065, USA",40.7643711,-73.9593578,10065,5.8750612633917,2.921686475483602,3,POINT (-73.95935780000001 40.7643711),Manhattan,108,Upper East Side
63,Brokered by Douglas Elliman - 575 Madison Ave,Condo,1900000,2,2.0,1029.0,150 Rivington St Apt 3G,"New York, NY 10002","150 Rivington St Apt 3GNew York, NY 10002",New York,New York County,New York,Manhattan,150,"150 Rivington St #3g, New York, NY 10002, USA",40.7193408,-73.9856438,10002,6.278753600952829,3.012415374762433,4,POINT (-73.98564380000001 40.7193408),Manhattan,103,Lower East Side
64,Brokered by Corcoran Williamsburg Bedford,Condo,1250000,2,2.0,1201.0,1105 Cortelyou Rd # 301,"Brooklyn, NY 11218","1105 Cortelyou Rd # 301Brooklyn, NY 11218",New York,Kings County,Brooklyn,Flatbush,1105,"1105 Cortelyou Rd #301, Brooklyn, NY 11218, USA",40.6400234,-73.9676099,11218,6.096910013008056,3.079543007402906,4,POINT (-73.9676099 40.6400234),Brooklyn,314,Borough Park
65,Brokered by COMPASS,Condo,1395000,2,2.0,1182.0,737 Bergen St Apt 1B,"Brooklyn, NY 11238","737 Bergen St Apt 1BBrooklyn, NY 11238",New York,Kings County,Brooklyn,Prospect Heights,737,"737 Bergen St #1b, Brooklyn, NY 11238, USA",40.6787789,-73.9643728,11238,6.144574207609616,3.0726174765452368,4,POINT (-73.96437280000001 40.6787789),Brooklyn,308,Central Brooklyn
67,Brokered by Better Homes and Gardens Real Estate Safari Realty,Others,619888,3,2.0,1400.0,35 Center Pl,"Staten Island, NY 10306","35 Center PlStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Center Place,"35 Center Pl, Staten Island, NY 10306, USA",40.5632116,-74.1002521,10306,5.7923132292145745,3.146128035678238,3,POINT (-74.10025210000001 40.5632116),Staten Island,502,South Shore
68,Brokered by Ashford Homes,Multi-family home,1489000,6,2.0,3780.0,205 Wiman Ave,"Staten Island, NY 10308","205 Wiman AveStaten Island, NY 10308",United States,New York,Richmond County,Staten Island,Wiman Avenue,"205 Wiman Ave, Staten Island, NY 10308, USA",40.5395319,-74.1450877,10308,6.172894697752176,3.5774917998372255,4,POINT (-74.1450877 40.5395319),Staten Island,503,South Shore
69,Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse,65000000,3,2.0,15200.0,4 E 79th St,"New York, NY 10075","4 E 79th StNew York, NY 10075",United States,New York,New York County,New York,East 79th Street,"4 E 79th St, New York, NY 10075, USA",40.7765613,-73.9633167,10075,7.812913356642856,4.181843587944773,5,POINT (-73.96331669999999 40.7765613),Manhattan,108,Upper East Side
70,Brokered by Serhant,Condo,1595000,3,3.0,1413.0,924 Lafayette Ave Unit Ph,"Brooklyn, NY 11221","924 Lafayette Ave Unit PhBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,Lafayette Avenue,"924 Lafayette Ave, Brooklyn, NY 11221, USA",40.6915139,-73.935444,11221,6.2027606873932,3.1501421618485588,4,POINT (-73.935444 40.6915139),Brooklyn,303,Bushwick and Williamsburg
71,Brokered by Douglas Elliman - 575 Madison Ave,Condo,655000,3,2.0,803.0,1504 Jefferson Ave Unit Gardenb,"Brooklyn, NY 11237","1504 Jefferson Ave Unit GardenbBrooklyn, NY 11237",United States,New York,Kings County,Brooklyn,Jefferson Avenue,"1504 Jefferson Ave, Brooklyn, NY 11237, USA",40.6967268,-73.9074036,11237,5.816241299991783,2.904715545278681,3,POINT (-73.90740359999999 40.6967268),Brooklyn,304,Bushwick and Williamsburg
72,Brokered by Serhant,Condo,1175000,2,2.0,1115.0,924 Lafayette Ave Apt 2,"Brooklyn, NY 11221","924 Lafayette Ave Apt 2Brooklyn, NY 11221",New York,Kings County,Brooklyn,Bedford-Stuyvesant,924,"924 Lafayette Ave #2, Brooklyn, NY 11221, USA",40.6915139,-73.935444,11221,6.0700378666077555,3.0472748673841794,4,POINT (-73.935444 40.6915139),Brooklyn,303,Bushwick and Williamsburg
73,Brokered by E Realty International Corp,Multi-family home,2880000,9,2.0,2350.0,16-33 166th St,"Whitestone, NY 11357","16-33 166th StWhitestone, NY 11357",United States,New York,Queens County,Queens,166th Street,"16-33 166th St, Flushing, NY 11357, USA",40.7832094,-73.7967588,11357,6.459392487759231,3.3710678622717363,4,POINT (-73.79675880000001 40.7832094),Queens,407,North Queens
74,Brokered by Momentum Real Estate LLC,Multi-family home,798000,3,4.0,2150.0,425 Father Capodanno Blvd,"Staten Island, NY 10305","425 Father Capodanno BlvdStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,Father Capodanno Boulevard,"425 Father Capodanno Blvd, Staten Island, NY 10305, USA",40.5874844,-74.0701056,10305,5.90200289135073,3.3324384599156054,3,POINT (-74.07010560000001 40.5874844),Staten Island,502,Stapleton and St. George
76,Brokered by Corcoran Chelsea/Flatiron,Condo,31000000,3,4.0,4492.0,111 W 57th St # 50,"New York, NY 10019","111 W 57th St # 50New York, NY 10019",New York,New York County,New York,Manhattan,111,"111 W 57th St #50, New York, NY 10019, USA",40.764953,-73.977568,10019,7.491361693834273,3.6524397475894204,5,POINT (-73.97756800000001 40.764953),Manhattan,105,Chelsea and Clinton
80,Brokered by Douglas Elliman - 575 Madison Ave,Condo,1650000,2,2.0,1065.0,200 E 94th St Apt 414,"New York, NY 10128","200 E 94th St Apt 414New York, NY 10128",New York,New York County,New York,Manhattan,200,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982,10128,6.217483944213907,3.0273496077747564,4,POINT (-73.9499982 40.7833546),Manhattan,108,Upper East Side
81,Brokered by Douglas Elliman - 575 Madison Ave,Condo,1650000,2,2.0,1065.0,200 E 94th St Apt 414,"New York, NY 10128","200 E 94th St Apt 414New York, NY 10128",New York,New York County,New York,Manhattan,200,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982,10128,6.217483944213907,3.0273496077747564,4,POINT (-73.9499982 40.7833546),Manhattan,108,Upper East Side
82,Brokered by COMPASS,Townhouse,12950000,5,4.0,3344.0,214 W 11th St,"Manhattan, NY 10014","214 W 11th StManhattan, NY 10014",United States,New York,New York County,New York,West 11th Street,"214 W 11th St, New York, NY 10014, USA",40.7363219,-74.0018035,10014,7.112269768417271,3.524266268766979,5,POINT (-74.00180349999999 40.7363219),Manhattan,102,Greenwich Village and Soho
